group,n_group,n_AISelect,missing_AISelect,Daily%,Weekly%,Monthly%,Planned%,NonUser%,AnyUser%
People manager,4902,3831,1071,53.9,17.7,13.3,5.2,9.9,84.9
Individual contributor,28341,22391,5950,47.3,18.3,13.6,4.9,15.9,79.2
