group,n_group,n_AISelect,missing_AISelect,Daily%,Weekly%,Monthly%,Planned%,NonUser%,AnyUser%
18-24 years old,9210,5533,3677,47.2,19.1,13.7,2.7,17.3,80.0
25-34 years old,16519,10955,5564,51.1,17.8,12.8,4.0,14.2,81.8
35-44 years old,13241,9462,3779,48.7,17.7,13.7,5.3,14.6,80.1
45-54 years old,6275,4725,1550,45.1,17.7,14.5,7.3,15.4,77.3
55-64 years old,2626,2093,533,33.8,15.4,15.5,12.0,23.3,64.7
65 years or older,942,755,187,22.3,11.7,16.2,14.0,35.9,50.1
