group,n_group,n_AISelect,missing_AISelect,Daily%,Weekly%,Monthly%,Planned%,NonUser%,AnyUser%
0-3 years,2991,1909,1082,53.9,17.5,12.4,8.0,8.2,83.9
4-8 years,9727,7063,2664,52.7,18.7,12.9,3.2,12.6,84.2
9-15 years,12148,9447,2701,48.7,17.9,13.6,4.2,15.6,80.2
16+ years,18176,14855,3321,42.5,17.3,14.4,6.5,19.3,74.1
