group,n_group,n_AISelect,missing_AISelect,Daily%,Weekly%,Monthly%,Planned%,NonUser%,AnyUser%
"Hybrid, remote-leaning",5831,4661,1170,46.7,19.2,14.4,4.8,14.9,80.3
In-person,6042,4519,1523,46.9,17.6,13.6,5.6,16.3,78.1
"Hybrid, office-leaning",6732,5256,1476,46.0,19.8,13.7,5.8,14.6,79.5
Remote,10931,8666,2265,52.4,16.8,12.3,4.3,14.2,81.5
